question,answer
Apa saja syarat-syarat permohonan gugatan cerai talak dan cerai gugat?,"Syarat - Syarat Pengajuan Cerai Talak dan Cerai Gugat :

Menyerahkan Surat Permohonan/Gugatan (Rangkap 5 dan softcopy dalam CD/Flashdisk)
Asli Kutipan/Duplikat Akta Nikah
Fotocopy kutipan/Duplikat Akta Nikah (1 lembar)
Fotocopy KTP bersangkutan yang masih berlaku (1 lembar)
Pihak yang berprofesi sebagai PNS, TNI/POLRI dan BUMN, harus menyerahkan Surat Izin/Surat Keterangan dari pejabat yang berwenang
Khusus Perkara Ghoib, menyerahkan Surat Keterangan dari Kepala Desa/ Kepala Kelurahan, yang menerangkan Tergugat/Termohon telah pergi dan sekarang tidak diketahui tempat tinggalnya di dalam maupun di luar wilayah Indonesia, disertai dengan fotocopy Kartu Keluarga
Persyaratan nomor 3 - 6 di Nazegelen (dimaterai dan Cap POS)
Membayar Panjar Biaya Perkara.
Panjar Biaya Perkara

Uraian        Biaya
Cerai Gugat
A.        Biaya PNBP Hak - Hak Kepaniteraan
1. Biaya Pendaftaran        Rp.   30.000,-
2. Biaya Redaksi        Rp.   10.000,-
3. Panggilan Pertama        Rp.   20.000,-
4. Pemberitahuan Putusan        Rp.   10.000,-
B.        Biaya Proses
1. Biaya ATK/Administrasi        Rp.   75.000,-
2. Biaya Panggilan (P 2x dan T 3x)        Rp. 450.000,-
3. Biaya Pemberitahuan Putusan        Rp.   90.000,-
C.        Biaya Materai        Rp.     10.000,-
Total        Rp. 605.000,-
Cerai Talak
D.        Biaya Ikrar (P+T)        Rp. 180.000,-
Total        Rp. 785.000,-

Panggilan/Pemberitahuan 
Radius I Rp. 75.000,- 
Radius II Rp. 100.000,-
Radius III Rp. 150.000,- 
Radius IV Rp. 175.000,-

keterangan :
Contoh Perhitungan Panjar diatas adalah untuk Kasus dengan Radius I

P : Pemohon/Penggugat
T : Termohon/Tergugat"
Bagaimana proses mediasi pada perkara perceraian?,"Pada perkara perceraian, seperti cerai gugat dan  cerai talak, hakim wajib mendamaian kedua belah pihak  berperkara pada setiap kali persidang ( Pasal 56 ayat 2, 65, 82, 83 UU No 7 Tahun 1989.  Dan selanjutnya jika kedua belah pihak hadir dipersidangan  dilanjutkan dengan mediasi  PERMA No 1 Tahun 2008.  Kedua belah pihak bebas memilih Hakim mediator yang tersedia di Pengadilan Agama Pelaihar tanpa dipungut biaya. Apabila terjadi perdamaian, maka perkaranya dicabut oleh Penggugat/Pemohon dan perkara telah selesai.

Dalam perkara perdata pada umumnya setiap permulaan sidang, sebelum pemeriksaan perkara, hakim diwajibkan mengusahakan perdamaian antara para pihak berperkara ( Pasal 154 R.Bg), dan jika tidak damai dilanjutkan dengan mediasi. Dalam mediasi ini para pihak boleh menggunakan hakim mediator yang tersedia di Pengadilan Agama tanpa dipungut biaya, kecuali para pihak menggunakan mediator dari luar yang sudah punya sertikat, maka biayanya seluruhnya ditanggung kedua belah pihak berdasarkan kesepakatan mereka. Apabila terjadi damai, maka dibuatkan akta perdamaian ( Acta Van Verglijk). Akta Perdamaian ini mempunyai kekuatan hukum yang sama dengan putusan hakim,dan dapat dieksekusi, tetapi tidak dapat dimintakan banding, kasasi dan peninjauan kembali.

Apabila tidak terjadi damai dalam mediasi, baik perkara perceraian maupun perkara perdata umum, maka proses pemeriksaan perkara dilanjutkan."
Bagaimana cara mengajukan gugatan perceraian?,"Bahwa gugatan cerai di Pengadilan Agama tersebut dapat diajukan baik oleh Suami kepada Isterinya maupun oleh Isteri kepada Suaminya. Gugatan yang diajukan Suami kepada Isterinya disebut dengan Permohonan Cerai Talak, dimana nantinya suami menjadi Pemohon dan Isteri menjadi Termohon. Sedangkan terhadap gugatan cerai yang diajukan oleh Isteri kepada Suaminya disebut Gugatan Perceraian, dimana isteri sebagai Penggugat dan suami sebagai Tergugat.

Jika isteri hendak mengajukan gugatan cerai kepada suaminya, maka Pengadilan agama yang berwenang untuk memeriksa dan mengadilinya adalah Pengadilan Agama dimana Isteri tersebut berdomisili hukum. Domisili hukum dapat dibuktikan dengan adanya Kartu Tanda Penduduk (KTP), artinya jika isteri berdomisili hukum di Kabupaten Magelang dan Suami bertempat tinggal di Jakarta, maka Pengadilan Agama yang berwenang adalah Pengadilan Agama tempat domisili hukum isteri yaitu Pengadilan Agama Kabupaten Magelang.

Selain membuat surat gugatan, isteri yang akan menggugat suaminya juga harus mempersiapkan bukti-bukti dan saksi-saksi yang diperlukan. Bukti-bukti yang diperlukan adalah sebagai berikut :

1. Bukti Pernikahan yang berupa Buku Nikah yang dikeluarkan oleh KUA.
2. Bukti Domisili Hukum sebagai Penggugat berupa KTP Penggugat.
3. Bukti kelahiran anak yang berupa Akta Lahir Anak dari Catatan Sipil.
4. Kartu Keluarga.
5. Bukti-bukti yang menunjukan alasan perceraian.
6. Bukti Penghasilan suami, jika akan menuntut Nafkah kepada suami.
7. Bukti tentang Harta Bersama, jika mengajukan gugatan pembagian harta bersama."
Apa saja yang dapat dijadikan alasan seorang istri dapat mengajukan gugatan cerai kepada suaminya?,"Adapun beberapa alasan yang dapat dijadikan alasan bagi seorang isteri yang ingin mengajukan gugatan cerai kepada suaminya adalah sebagai berikut :

1. Suami berbuat zina atau menjadi pemabok, pemadat, penjudi, dan lain sebagainya yang sukar disembuhkan;
2. Suami meninggalkan isteri selama 2 (dua) tahun berturut-turut tanpa izin isteri dan tanpa alasan yang sah atau karena hal lain diluar kemampuannya;
3. Suami mendapat hukuman penjara 5 (lima) tahun atau hukuman yang lebih berat setelah perkawinan berlangsung;
4. Suami melakukan kekejaman atau penganiayaan berat yang membahayakan Isterinya;
5. Suami mendapat cacat badan atau penyakit dengan akibat tidak dapat menjalankan kewajibannya sebagai suami;
6. Antara suami dan isteri terus-menerus terjadi perselisihan dan pertengkaran dan tidak ada harapan akan hidup rukun lagi dalam rumah tangga."
Apa saja hak istri untuk mengajukan tuntutan tambahan saat mengajukan gugatan cerai?,"Dalam mengajukan gugatan cerai, isteri mempunyai hak untuk mengajukan tuntutan tambahan yang dapat berupa :

1. Tuntutan Nafkah Terutang, yaitu jika selama masa tertentu dalam perkawinannya, ternyata Suami tidak memberikan biaya hidup kepada isteri, maka isteri dapat menuntut agar Hakim menghukum suami membayar nafkah terutang kepada bekas isterinya kelak.
2. Tuntutan Hak Asuh Anak, yaitu isteri berhak untuk mendapatkan hak pengasuhan atas anak yang belum mumaziz (dibawah 12 tahun).
3. Tuntutan Nafkah Anak sampai dewasa 21 tahun, jika nantinya hak asuh anak jatuh ke tangan isteri, maka hakim atas permintaan anda dapat menentapkan agar bekas suami memberikan nafkah kepada anak yang hak asuhnya ditangan isteri, sampai anak tersebut dewasa atau berumur 21 tahun.
4. Nafkah Idah, dapat diminta oleh isteri sebagai nafkah selama masa idah yaitu 3 (tiga) bulan lamanya.
5. Nafkah Mut’ah, dapat juga diminta oleh isteri kepada hakim agar suami ditetapkan agar membayar nafkah Mut’ah (hadiah) kepada bekas isterinya.

Selain mengajukan tuntutan nafkah, isteriu yang akan mengajukan gugatan cerai dapat juga mengajukan gugatan pembagian harta bersama (gono-gini) bersamaan dan dalam satu naskah dengan gugatan cerai dimaksud. Jika seorang isteri ingin mengajukan gugatan cerai dan tahu ada harta bersama, maka sebaiknya bersamaan pengajuan gugatan cerai sekaligus pengajuan gugatan pembagian harta bersamanya diajukan dalam satu naskah gugatan."
Bagaimana prosedur perkara cerai gugat?,"Prosedur Berperkara Cerai Gugat
1. Penggugat mengajukan gugatan secara tertulis atau lisan ke Pengadilan Agama.
2. Dalam surat gugatan berisi identitas Penggugat, meliputi nama, umur, pekerjaan dan tempat tinggal 3. Penggugat, kemudian posita yaitu fakta kejadian dan fakta hukum, dan petitum yaitu hal-hal yang dituntut penggugat berdasarkan posita.
4. Gugatan penguasaan anak, nafkah anak, hadhanah, nafkah isteri dan harta bersama dapat diajukan bersama-sama dengan gugatan perceraian.
5. Membayar panjar biaya perkara melalui Bank dan bagi yang tidak mampu/miskin, dapat berperkara secara prodeo/Cuma-Cuma.
6. Setelah perkaranya didaftarkan di Pengadilan Agama, kemudian Penggugat dan Tergugat dipanggil untuk menghadiri sidang, sekurang-kurangnya 3 hari kerja sebelum sidang dilaksanakan, panggilan disampaikan oleh juru sita dan disampaikan ke alamat penggugat dan tergugat, namun jika saat dipanggil penggugat/tergugat tidak berada ditempat/sedang keluar, panggilan disampaikan melalui Lurah/Kepala Desa. Khusus apabila tergugat ghaib, panggilan kepada tergugat dilakukan melalui pengumuman di radio, antara pengumuman pertama dengan pengumuman kedua berjarak 1 bulan, dan antara pengumuman kedua dengan hari sidang dengan jarak sekurang-kurangnya 3 bulan.
7. Pada saat persidangan, diupayakan perdamaian dan dilanjutkan dengan mediasi jika penggugat dan tergugat hadir. Apabila terjadi damai, perkara dicabut.
8. Putusan Pengadilan Agama adakalanya dikabulkan apabila gugatan terbukti, ditolak jika tidak terbukti dan  tidak dapat diterima kalau gugatan kabur, kemudian begitu putusan dijatuhkan, penggugat dapat lansung mengambil sisa panjar biaya perkara jika masih ada.
9. Setelah putusan dijatuhkan dan berkekuatan hukum, Penggugat dan Tergugat dapat mengambil Akte Cerai secara langsung, atau melalui kuasa dengan sayarat ada surat kuasanya khusus untuk pengambilan Akta  Cerai tersebut."
Bagaimana prosedur perkara cerai talak?,"Prosedur Berperkara Cerai Talak
1. Mengajukan surat permohonan pemohon yang ditujukan kepada Ketua Pengadilan Agama, boleh dilakukan dengan tertulis maupun dengan lisan.
2. Surat permohonan pemohon berisi identitas pemohon dan termohon meliputi nama, umur, pekerjaan dan tempat tinggal, posita yaitu gambaran peristiwa hukum/fakta kejadian dan fakta hukum, kemudian petitum yaitu apa yang diminta pemohon,  berdasarkan posita.
3. Permohonan penguasaan anak/hadhanah, nafkah anak, dan pembagian harta bersama dapat  diajukan bersama-sama dengan permohonan perceraian.
4. Membayar panjar biaya perkara melalui Bank yang besarnya sesuai dengan taksiran Meja 1 seperti yang tersebut dalam SKUM, jika tidak mampu/miskin dapat mengajukannya secara Cuma-Cuma/prodeo dengan melampirkan surat keterangan tidak mampu dari Kepala Desa yang diketahui oleh Camat setempat.
5. Setelah perkara didaftarkan di Pengadilan Agama, kemudian pemohon tinggal menunggu panggilan sidang. Panggilan dilakukan oleh juru sita kealamat pemohon dan termohon sekurang-kurangnya 3 hari kerja sebelum sidang. Jika pemohon/termohon tidak  berada ditempat, panggilan disampaikan melalui 6. Lurah/Kepala Desa setempat,  Jika termohonnya beralamat  diluar wilayah yuridiksi Pengadilan Agama tempat pemohon mengajukan permohonan, maka panggilan dilakuan  dengan meminta bantuan melalui Pengadilan Agama dimana wilayah tempat tinggal termohon berada. Kemudian jika termohonnya ghaib, panggilan dilakukan melalui pengumuman diradio, dengan ketentuan antara pengumuman pertama dengan pengumunan kedua jaraknya 1 bulan, dan atara pengumuman kedua dengan hari sidangnya sekurang-kurangnya 3 bulan. Jika termohonnya berada diluar negeri, panggilan dilakukan melalui kedutaan RI di luar negeri, dengan ketentuan antara panggilan sidang dengan hari sidangnya sekurang-kurangnya 6 bulan.
7. Dalam pemeriksaan perkara, dilakukan upaya perdamaian dan mediasi jika kedua belah pihak hadir.
Setelah pemeriksaan perkara selesai, putusan dijatuhkan mungkin dalam putusan itu  bisa dikabulkan, ditolak atau tidak dapat diterima.
8. Apabila putusan izin ikrar dijatuhkan dan sudah berkekuatan hukum tetap, Pengadilan Agama menetapkan Majelis Hakim yang akan melanjutkan sidang pengucapan ikrar talak, dan Ketua Majelis memerintahkan kepada juru sita untuk memanggil pemohon dan termohon agar hadir pada persidangan pengucapan ikrar talak tersebut. Panggilan dilakukan 3 hari kerja sebelum sidang dilaksanakan. Apabila pemohon tidak hadir pada persidangan ikrar talak tersebut, dan tidak melapor ke Pengadilan  Agama  sampai 6 bulan, maka menjadi gugur kekkuatan hukum putusan izin ikrar talak itu, dan pemohon dan termohon tetap suami isteri.
9. Apabila pemohon hadir dan mengucapkan ikrar talak di sidang pengadilan itu, maka pada hari itu juga akta cerainya dapat diambil, dan  sisa panjar biaya perkara jika ada,  dapat pula  langsung mengambilnya dengan kasir."
Bagaimana prosedur perkara harta bersama?,"Prosedur Berperkara Harta Bersama
1. Pihak berperkara datang ke Pengadilan Agama dengan membawa surat gugatan harta bersama yang ditujukan kepada Ketua Pengadilan.
2. Penggugat membayar biaya perkara ke Bank yang jumlahnya sesuai dengan taksiran Meja I seperti tersebut dalam SKUM, kemudian menyerahkan surat gugatan yang disertai  bukti  slip pembayaran tersebut kepada petugas meja 1 untuk didaftarkan dalam buku register perkara.  Bagi Penggugat yang tidak mampu/miskin dapat mengajukan gugatan secara Cuma-Cuma/prodeo, dengan syarat melengkapi surat keterangan tidak mampu dari Lurah/Kepala Desa  dan diketahui oleh Camat setempat.
3. Dalam suarat gugatan harta bersama itu harus dijelaskan  objek yang menjadi sengketa , seperti ukuran dan batas-batasnya jika objek itu berupa tanah, merek, kode/tahun pembuatan jika barang digugat berupa mobil/sepeda motor atau barang elektronik, dan kalau perlu dilengkapi warna  dan lain-lain.
4. Setelah gugatan didaftarkan, penggugat  dan tergugat tinggal menunggu panggilan sidang. Panggilan sidang nanti akan disampaikan oleh juru sita kealamat penggugat dan tergugat paling lama 3 hari kerja sebelum sidang dilaksanakan.
5. Dalam  persidangan diupayakan perdamaian dan dilanjutkan dengan mediasi bagi kedua belah pihak yang hadir dimuka sidang. Penggugat dan tergugat bebas memilih hakim mediator atau pihak lain yang sudah punya sertifikasi sebagai mediator, dan biayanya menggunakan  mediator dari luar ditanggung sepenuhnya oleh penggugat.
6. Pengajuan gugatan harta bersama ini atau dalam persidangan,  pihak penggugat atau tergugat dapat menggunakan jasa pengacara/advokat atau kuasa insidentil.
7. Proses sidang, dimulai dari upaya perdamaian, pembacaaan gugatan, jawaban tergugat, replik penggugat, duplik tergugat, pembuktian yang dilanjutkan dengan pemeriksaan setempat, kesimpulan, musyawarah majelis dan putusan."
Bagaimana prosedur perkara gugatan waris?,"Prosedur Berperkara Gugatan Waris
1. Gugatan waris diajukan ke Pengadilan Agama oleh penggugat selaku ahli waris dan dapat pula  mengguganakan jasa pengacara/advokat atau kuasa insidentil. Jika menggunakan kuasa insidentil, terlebih dahulu harus mengajukan permohonan  kepada Ketua Pengadilan Agama untuk menjadi kuasa insidentil, kemudian Ketua Pengadilan mengeluarkan surat izinnya.
2. Pengajuan gugatan waris disertai dengan bukti  kematian pewaris dari Lurah/Kepala Desa dan silsilah ahli warisnya dan dipersiapkan pula dokumen bukti-bukti kepemilikan objek sengketa seperti sertifikat, akta jual beli, dan bukti kepemilikan lainnya.
3. Dalam surat gugatan harus memuat secara lengkap objek-objek sengketa mengenai ukuran dan batas-batasnya tanah, merek dan tahun pembuatan dan kalau perlu dengan warnanya jika objeknya berupa mobil/Sepeda motor atau barang-barang elektronik.
4. Pengujuan gugatan waris diajukan ke Pengadilan Agama  yang daerah hukumnya meliputi letak barang tetap  (objek sengketa) itu berada, kecuali barang-barang sengketa itu menyebar kepada beberapa wilayah Pengadilan Agama, maka penggugat dapat memilih salah satunya Pengadilan 5. Agama dimana objek sengketa waris itu berada.
5. Penggugat membayar panjar biaya perkara melalui Bank dan jumlahnya sesuai dengan taksiran meja 1 (SKUM) yang didasarkan pada PP 53 tahun 2008 dan Surat Keputusan Ketua Pengadilan Agama tentang panjar biaya perkara. Bagi yang tidak mampu/miskin dapat mengajukan gugatan waris secara cuma-Cuma/prodeo, dengan melampirkan surat keterangan tidak mampu dari Lurah atau Kepala Desa setempat yang diketahui oleh camat.
6. Setelah gugatan didaftarkan di Pengadilan Agama, penggugat/kuasanya tinggal menuggu panggilan sidang yang disampaikan oleh juru sita. Panggilan disampaikan minimal 3 hari kerja sebelum sidang dilaksanakan.Proses sidang dimulai dari upaya perdamaian dan dilanjutkan dengan mediasi jika para pihak hadir dipersidangan. Dalam mediasi, para pihak bebas memilih mediator apakah berasal dari hakim atau pihak lain yang sudah memiliki sertifikat mediasi, dan segala biaya pengeluaran mediasi ditanggung oleh penggugat atau kedua belah pihak jika terdapat kesepakatan dengan tergugat.  Namun apabila  mengguganakan hakim mediator  tidak dipungut biaya.
7. Proses sidang dimulai dari upaya perdamaian dan dilanjutkan dengan mediasi jika para pihak hadir dipersidangan. Dalam mediasi, para pihak bebas memilih mediator apakah berasal dari hakim atau pihak lain yang sudah memiliki sertifikat mediasi, dan segala biaya pengeluaran mediasi ditanggung oleh penggugat atau kedua belah pihak jika terdapat kesepakatan dengan tergugat.  Namun apabila  mengguganakan hakim mediator  tidak dipungut biaya.
8. Setelah proses mediasi dilaksanakan, dan ternyata damai, maka dibuatkan akte perdamaian yang dikuatkan dalam putusan  majelis hakim yang bersangkutan. Namun jika tidak terjadi damai, pemeriksaan gugatan dilanjutkan dengan pembacaan gugatan, jawaban tergugat, replik penggugat, duplik tergugat, pembuktian yang dilanjutkan dengan pemeriksaan setempat, kesimpulan, musyawarah majelis dan putusan."
Bagaimana prosedur perkara itsbat nikah atau voluntair?,"Prosedur Berperkara Itsbat Nikah (Voluntair)
1. Permohonan isbat nikah dapat di ajukan oleh suami isteri, atau salah satunya, anak, wali nikah, atau pihak lain yang berkepentingan yang ditujukan kepada Pengadilan Agama yang daerah hukumnya meliputi tempat kediaman pemohon.
2. Pengajuan isbat nikah dapat diajukan bersama-sama dengan gugatan/permohonan perceraian.  Permohonan isbat nikah adalah termasuk perkara voluntair, tetapi jika salah seorang suami atau isteri meninggal dunia, maka permohonan perkara isbat nikah seperti ini termasuk kontentius, dan semua ahli warisnya harus dijadikan “pihak”.Permohonan penguasaan anak/hadhanah, nafkah anak, dan pembagian harta bersama dapat  diajukan bersama-sama dengan permohonan perceraian.
3. Pihak Pemohon yang mengajukan isbat nikah, terlebih dahulu harus membayar panjar biaya perkara melaui Bank yang jumlahnya sesuai dengan taksiran meja 1 seperti tersebut dalam SKUM. Bagi yang tidak mampu membayar biaya perkara, dapat mengajukannya dengan Cuma-Cuma/prodeo.
4. Setelah pembayaran panjar biaya perkara dilakukan, kemudian pemohon mendaftarkan perkaranya ke Pengadilan Agama dengan melampirkan bukti slip pembayarkan lewat  Bank tersebut, dan selanjutnya pemohon pulang dan menunggu panggilan sidang.
5. Ketua Pengadilan Agama, membuatkan PMH dan majelis hakim yang ditetapkan harus segera membuatkan PHS/ penetapan hari sidang, yang sebelumnya diumumkan dalam waktu 14 hari melalui radio. Dan setelah 14 hari  diumumkan itu, baru sidang dapat dilakukan, dan pemohon dipanggil oleh juru sita untuk menghadiri sidang itu,  minimal 3 hari kerja sebelum  sidang  dilaksanakan.
6. Jika permohonan dikabulkan, Pengadilan Agama akan mengeluarkan Penetapan,  salinan penetapan ini dapat diambil dalam jangka waktu setelah 14 hari dari sidang pembacaan penetapat tersebut/sidang berakhir.
7. Salinan Penetapan dapat diambil sendiri atau mewakilkan kepada orang lain dengan surat kuasa, dan selanjutnya salinan penetapan ini dibawa dan diserahkan kepada Kantor KUA tempat tinggal pemohon, untuk dicatatkan dalam register dan menggantikannya dengan Buku Nikah."
Bagaimanan prosedur atau mekanisme mengajukan pengaduan layanan di Pengadilan Agama?,"Dalam hal Pengaduan diajukan secara lisan;
1. Pelapor datang menghadap sendiri ke meja Pengaduan, dengan menunjukkan indentitas diri.
2. Petugas meja Pengaduan memasukkan laporan Pengaduan ke dalam aplikasi SIWAS MA-RI (https://siwas.mahkamahagung.go.id)
3. petugas meja Pengaduan memberikan nomor register Pengaduan kepada Pelapor guna memonitor tindak lanjut penanganan Pengaduan.

Dalam hal Pengaduan dilakukan secara tertulis, memuat:
1. identitas Pelapor;
2. identitas Terlapor jelas;
3. perbuatan yang diduga dilanggar harus dilengkapi dengan waktu dan tempat kejadian, alasan penyampaian Pengaduan, bagaimana pelanggaran itu terjadi  misalnya, apabila perbuatan yang diadukan berkaitan dengan pemeriksaan suatu perkara, Pengaduan harus dilengkapi dengan nomor perkara;
4. menyertakan bukti atau keterangan yang dapat mendukung Pengaduan yang disampaikan misalnya, bukti atau keterangan ini termasuk nama, alamat dan nomor kontak pihak lain yang dapat dimintai keterangan lebih lanjut untuk memperkuat Pengaduan Pelapor; dan
5. petugas Meja Pengaduan memasukkan laporan Pengaduan tertulis ke dalam aplikasi SIWAS MA-RI dengan melampirkan dokumen  Pengaduan. Dokumen asli Pengaduan diarsipkan pada Pengadilan yang bersangkutan dan dapat dikirim ke Badan Pengawasan apabila diperlukan. 

Dalam hal Pengaduan dilakukan secara elektronik, memuat:
1. identitas Pelapor;
2. identitas Terlapor jelas;
dugaan perbuatan yang dilanggar  jelas, misalnya perbuatan yang diadukan berkaitan dengan pemeriksaan suatu perkara maka Pengaduan harus dilengkapi dengan nomor perkara;
3. menyertakan bukti atau keterangan yang dapat mendukung Pengaduan yang disampaikan. Misalnya bukti atau keterangan termasuk nama jelas, alamat dan nomor kontak pihak lain yang dapat dimintai keterangan lebih lanjut untuk memperkuat Pengaduan Pelapor.
4. meskipun Pelapor tidak mencantumkan identitasnya secara lengkap, namun apabila informasi Pengaduan logis dan memadai, Pengaduan dapat ditindaklanjuti."
Bagaimana prosedur permohonan penetapan penguasaan dan perwalian anak?,"Anak yang belum mencapai usia 18 (delapan belas) tahun atau belum pernah melangsungkan perkawinan, berada di bawah kekuasaan orang tua, selama kekuasaan orang tua tidak dicabut berdasarkan putusan pengadilan. Apabila seorang anak tidak memiliki orang tua, kedua orang tuanya tidak diketahui keberadaannya, atau kedua orang tuanya tidak mampu menjalankan kewajiban sebagai orang tua, maka anak tersebut berada di bawah perwalian.

Sering kali ditemukan di pengadilan, wali bahkan juga orang tua mengajukan permohonan ke pengadilan untuk ditetapkan sebagai wali. Salah satu orang tua sering kali ditemukan mengajukan permohonan penetapan wali disebabkan salah satu orang tua telah meninggal, maka untuk keperluan pengurusan hak anak tersebut, lembaga terkait mensyaratkan adanya penetapan wali dari pengadilan. Adapun seseorang yang mengajukan permohonan untuk ditetapkan sebagai wali anak adalah orang yang berasal dari keluarga anak, disebabkan kedua orang tua anak tersebut sudah tidak ada lagi atau tidak diketahui lagi keberadaannya, sehingga yang mengurus keperluan anak tersebut selama ini adalah keluarga anak tersebut.

Informasi lebih lengkap dapat diakses melalui laman berikut: https://drive.google.com/file/d/1RgxM2YuUxj_IamfxkwO_0bc1EzgDgtUz/view"
Bagaimana jika mantan suami tidak menafkahi anak sesuai putusan hakim pasca perceraian?,"Apabila pengadilan telah mewajibkan mantan suami untuk menafkahi anak-anaknya namun ia menolaknya atau tetap menafkahi tetapi tidak sesuai dengan apa yang ditetapkan oleh hakim pada putusan pengadilan, sehingga nafkah yang diberikan tidak menutupi kebutuhan si anak, maka hal itu dapat dikatakan sebagai bentuk ketidakpatuhan atas putusan pengadilan. Berikut adalah upaya hukum yang dapat dilakukan:
 
Pasal 54 Undang-Undang Nomor 7 Tahun 1989 tentang Peradilan Agama (“UU 7/1989”) sebagaimana yang terakhir kali diubah oleh Undang-Undang Nomor 50 Tahun 2009 tentang Perubahan Kedua Atas Undang-Undang Nomor 7 Tahun 1989 Tentang Peradilan Agama mengatur bahwa hukum acara yang berlaku pada pengadilan dalam lingkungan Peradilan Agama adalah Hukum Acara Perdata yang berlaku pada Pengadilan dalam lingkungan Peradilan Umum, kecuali yang telah diatur secara khusus dalam Undang-undang ini.
 
Karena Undang-Undang Peradilan Agama tidak mengatur secara khusus mengenai upaya hukum terhadap pihak yang tidak melaksanakan putusan, maka dalam hal ini berlaku Herzien Inlandsch Reglement (“HIR“) Perlu dipahami bahwa berarti upaya yang dimaksud dalam HIR berlaku untuk perceraian melalui Pengadilan Negeri, maupun melalui Pengadilan Agama.
 
Jika seseorang tidak mematuhi putusan pengadilan maka terkait hal ini Pasal 196 HIR menyebutkan bahwa:
 
Jika pihak yang dikalahkan tidak mau atau lalai untuk memenuhi isi keputusan itu dengan damai, maka pihak yang menang memasukkan permintaan, baik dengan lisan, maupun dengan surat, kepada ketua pengadilan negeri yang tersebut pada ayat pertama pasal 195, buat menjalankan keputusan itu Ketua menyuruh memanggil pihak yang dikalahkan itu serta memperingatkan, supaya ia memenuhi keputusan itu di dalam tempo yang ditentukan oleh ketua, yang selama-lamanya delapan hari.
 
Jadi berdasarkan hal tersebut, Anda berarti dapat mengajukan permintaan kepada Ketua Pengadilan Negeri/ Ketua Pengadilan Agama tergantung hukum apa yang Anda gunakan saat bercerai, jika secara Islam dapat diajukan melalui Pengadilan Agama, dan selain Islam dapat diajukan melalui Pengadilan Negeri. Hal tersebut agar Ketua Pengadilan Negeri/ Ketua Pengadilan Agama memanggil dan memperingatkan mantan suami agar memenuhi nafkah sesuai Putusan Perceraian paling lambat 8 (delapan) hari setelah diberi dipanggil atau diperingatkan.
 
Selanjutnya Pasal 197 HIR alinea ke-1 menyebutkan :
 
Jika sudah lewat tempo yang ditentukan itu, dan yang dikalahkan belum juga memenuhi keputusan itu, atau ia jika dipanggil dengan patut, tidak datang menghadap, maka ketua oleh karena jabatannya memberi perintah dengan surat, supaya disita sekalian banyak barang-barang yang tidak tetap dan jika tidak ada, atau ternyata tidak cukup sekian banyak barang tetap kepunyaan orang yang dikalahkan itu sampai dirasa cukup akan pengganti jumlah uang yang tersebut di dalam keputusan itu dan ditambah pula dengan semua biaya untuk menjalankan keputusan itu.
 
Pasal 197 alinea ke-2 HIR :
Penyitaan dijalankan oleh panitera pengadilan negeri.
 
Dari penjelasan di atas, berarti jika mantan suami Anda setelah 8 hari sejak diperingatkan oleh Ketua Pengadilan Negeri/ Ketua Pengadilan Agama atau jika dipanggil dengan patut tidak masih mengabaikan putusan perceraian yang mewajibkannya membayar nafkah dengan nominal yang sudah ditentukan, maka demi hukum Ketua Pengadilan dapat memberikan perintah dengan surat agar menyita benda bergerak dan benda tidak bergerak kepunyaan mantan suami Anda sampai dirasa cukup sebagai pengganti jumlah uang nafkah yang dimaksudkan. Perlu dicatat hal ini dihitung sejak mantan suami Anda tidak memberikan nafkah sesuai putusan Pengadilan Negeri/ Pengadilan Agama."
Apa saja syarat pendaftaran Gugatan Waris?,"1. Surat Gugatan (7 rangkap yang ditandatangani asli) 2. Fotokopi KTP atau surat keterangan domisili para Penggugat 3. Fotokopi Akta Kematian Pewaris atau Surat Keterangan Kematian Pewaris 4. Fotokopi surat/dokumen harta bersama 5. Membayar biaya perkara * Fotocopy nomor 2, 3 & 4 dibubuhi materai & dileges di kantor POS ** Dokumen asli dibawa saat persidangan"
Siapakah yang membayar Biaya Perkara??,"Selama pemeriksaaan biaya dibebankan kepada Penggugat. Pihak Tergugat, apabila ia mau dapat membayarnya, atau jika Penggugat yang memohon tetapi keberatan untuk membayarnya, maka biaya dibebankan kepada Tergugat. Jika kedua belah pihak tersebut tidak mau membayar biaya tersebut, maka hal/perbuatan yang harus dilakukan itu tidak dilakukan. Jika hal/perbuatan itu menurut Hakim memang sangat diperlukan, maka Hakim dapat memerintahkan para pihak membayar biaya tersebut secara tanggung renteng. Dalam hal itu, biaya tersebut sementara akan diambil dari uang panjar biaya perkara yang telah dibayar oleh Penggugat (Pasal 160 HIR/Pasal 187 RBg."
